Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,10/24/2022 6:18,FALSE,Saginaw Running,2,221,0:15:39,0,0,165,171,7:49,7:21,--,--,1.25,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.6,3,0,0:15:39,0:16:02,594,597
Running,10/23/2022 8:17,FALSE,Saginaw County Running,14,"1,519",1:32:29,0,0,169,240,6:36,4:43,17,17,1.44,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.4,15,0,1:32:26,1:37:40,582,604
Running,10/22/2022 9:45,FALSE,Saginaw Running,4.01,440,0:29:25,0,0,166,173,7:21,6:32,20,20,1.32,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:02.2,5,0,0:29:24,0:29:35,594,617
Running,10/21/2022 15:12,FALSE,Saginaw Running,5.55,602,0:38:16,0,0,167,176,6:54,5:59,25,22,1.4,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,03:34.8,6,0,0:38:15,0:41:29,594,623
Running,10/21/2022 9:17,FALSE,Saginaw Running,3.01,330,0:24:24,0,0,165,173,8:07,7:22,3,3,1.2,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:02.2,4,0,0:24:23,0:31:21,594,597
Treadmill Running,10/21/2022 8:51,FALSE,Treadmill Running,1.02,101,0:10:10,0,0,159,207,9:59,3:57,--,--,0.99,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:31.1,7,0,0:10:09,0:10:10,--,--
Running,10/21/2022 8:27,FALSE,Extra Mileage,0.7,70,0:06:00,0,0,--,--,8:34,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,06:00.0,1,0,0:00:00,0:06:00,--,--
Running,10/21/2022 8:25,TRUE,600 TT,0.37,26,0:01:23,0,0,--,--,3:43,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,01:23.0,1,0,0:00:00,0:01:23,--,--
Running,10/21/2022 7:58,FALSE,Saginaw Running,2.62,286,0:19:25,0,0,166,174,7:24,6:31,--,--,1.31,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,04:31.4,3,0,0:19:24,0:21:25,594,597
Running,10/20/2022 6:26,FALSE,Saginaw Running,6,659,0:43:19,0,0,166,174,7:13,6:34,16,16,1.34,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.2,7,0,0:43:18,0:43:19,584,600
Running,10/19/2022 7:23,FALSE,Saginaw Running,10.6,"1,168",1:18:44,0,0,166,178,7:26,6:54,7,10,1.3,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,04:20.0,11,0,1:18:42,1:18:47,581,601
Running,10/18/2022 7:33,FALSE,Saginaw Running,3,327,0:21:52,0,0,168,178,7:17,6:45,--,--,1.32,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.7,4,0,0:21:51,0:28:24,591,597
Running,10/18/2022 7:12,FALSE,Saginaw Running,3.15,340,0:18:40,0,0,175,194,5:55,4:55,3,7,1.54,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.7,6,0,0:18:40,0:18:40,594,597
Running,10/18/2022 6:35,FALSE,Saginaw Running,3,330,0:21:56,0,0,168,178,7:18,6:43,3,3,1.31,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.8,4,0,0:21:55,0:21:56,594,597
Running,10/17/2022 7:25,FALSE,Saginaw Running,5,550,0:36:55,0,0,167,173,7:23,6:46,7,10,1.31,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.5,6,0,0:36:53,0:36:55,591,600
Running,10/17/2022 6:20,FALSE,Saginaw Running,2,221,0:15:26,0,0,163,173,7:42,7:12,--,--,1.28,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.3,3,0,0:15:26,0:15:26,594,597
Running,10/16/2022 8:16,FALSE,Bay County Running,15.01,"1,632",1:38:36,0,0,171,183,6:34,5:36,39,41,1.44,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:02.0,16,0,1:38:31,1:39:29,624,663
Running,10/14/2022 9:10,FALSE,Saginaw Running,6,666,0:45:59,0,0,167,174,7:40,6:51,7,10,1.26,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.4,7,0,0:45:58,0:46:30,584,600
Treadmill Running,10/14/2022 8:41,FALSE,Treadmill Running,2.35,214,0:17:08,0,0,160,240,7:18,2:29,--,--,1.37,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:13.8,16,0,0:16:58,0:17:08,--,--
Running,10/14/2022 7:56,FALSE,Saginaw Running,3.01,330,0:22:08,0,0,169,178,7:22,6:34,--,--,1.29,0,0,0,0,0,0,0,0,0,0,0,0:00,0,0:00,No,00:01.9,4,0,0:22:08,0:23:02,594,597
